NOGA,NOGA2,NOGA1,NOGAfull,NOGAtxt,CH_AS2011,CH_AS2016,CH_AS2021,CH_BE2011,CH_BE2016,CH_BE2021,BS_AS2011,BS_AS2016,BS_AS2021,BS_BE2011,BS_BE2016,BS_BE2021,BS_BE2021num,dCH_AS,dpCH_AS,dBS_AS,dpBS_AS,ddCHBS_AS,dCH_BE,dpCH_BE,dBS_BE,dpBS_BE,ddCHBS_BE,WgroupCH,Wgroup,Sektor,Sektortext,WIDLnum,WIDLtxt,Abteilungnum,Abteilungtxt,AbteiteilungPlusnum,AbteilungPlustxt,I_G_Handelnum,I_G_Handeltxt,I_H_Verkehrnum,I_H_Verkehrtxt,I_K_Finanznum,I_K_Finanztxt,I_M_WissTechnum,I_M_WissTechtxt,I_OP_VerwaltungBildungnum,I_OP_VerwaltungBildungtxt,I_Q_Gesundheitnum,I_Q_Gesundheittxt,I_Logistik(noPerson)num,I_Logistik(noPerson)txt,I_IKTnum,I_IKTtxt,I_Kreislaufwirtschaftnum,I_Kreislaufwirtschafttxt,I3_IKTnum,I3_IKTtxt,I_LSnum,I_LStxt,I_Publikumsorientiertnum,I_Publikumsorientierttxt,I4_Publikumsorientiertnum,I4_Publikumsorientierttxt,I_Kreativwirtschaftnum,I_Kreativwirtschafttxt,I13_Kreativwirtschaft,I13_Kreativwirtschaft,I3_WIDLnum,I3_WIDLtxt
11100,01,0,"011100 Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten",3904,3246,2913,9024,7277,6478,1-3,1-3,1-3,1-3,5,5,5,-991,-0.253842213,0,0,0.253842213,-2546,-0.282136525,3,1.5,1.782136525,1,5,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
11300,01,0,011300 Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,2136,1960,1974,10860,11213,13216,1-3,1-3,1-3,1-3,1-3,1-3,2,-162,-0.075842697,0,0,0.075842697,2356,0.21694291,0,0,-0.21694291,5,3,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
11900,01,0,011900 Anbau von sonstigen einjährigen Pflanzen,Anbau von sonstigen einjährigen Pflanzen,1653,1123,858,4347,3327,2268,4,1-3,1-3,50,12,19,19,-795,-0.480943739,-2,-0.5,-0.019056261,-2079,-0.47826087,-31,-0.62,-0.14173913,1,1,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
12101,01,0,012101 Anbau von Wein- und Tafeltrauben,Anbau von Wein- und Tafeltrauben,3339,2835,2620,10950,10560,11095,1-3,1-3,1-3,1-3,7,4,4,-719,-0.215333932,0,0,0.215333932,145,0.013242009,2,1,0.986757991,3,5,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
14100,01,0,014100 Haltung von Milchkühen,Haltung von Milchkühen,23286,21549,19545,65259,61450,57099,1-3,1-3,1-3,1-3,1-3,6,6,-3741,-0.16065447,0,0,0.16065447,-8160,-0.125040224,4,2,2.125040224,2,5,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
14200,01,0,014200 Haltung von anderen Tieren der Rindergattung,Haltung von anderen Tieren der Rindergattung,6698,6140,5948,16402,14867,14542,1-3,1-3,1-3,5,4,4,4,-750,-0.111973723,0,0,0.111973723,-1860,-0.113400805,-1,-0.2,-0.086599195,2,2,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
14300,01,0,014300 Haltung von Tieren der Pferdegattung,Haltung von Tieren der Pferdegattung,3031,3028,3181,6921,7087,7570,1-3,1-3,1-3,4,4,4,4,150,0.049488618,0,0,-0.049488618,649,0.093772576,0,0,-0.093772576,4,3,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
14500,01,0,014500 Haltung von Schafen und Ziegen,Haltung von Schafen und Ziegen,3719,3236,3035,7782,6865,6667,1-3,1-3,1-3,1-3,1-3,4,4,-684,-0.183920409,0,0,0.183920409,-1115,-0.143279363,2,1,1.143279363,2,5,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
14900,01,0,014900 Sonstige Tierhaltung,Sonstige Tierhaltung,344,411,420,708,828,827,0,0,1-3,0,0,1-3,2,76,0.220930233,2,0,-0.220930233,119,0.168079096,2,0,-0.168079096,4,3,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
15000,01,0,015000 Gemischte Landwirtschaft,Gemischte Landwirtschaft,4494,4174,4009,13757,12818,12758,1-3,1-3,1-3,9,10,11,11,-485,-0.107921673,0,0,0.107921673,-999,-0.072617577,2,0.222222222,0.294839799,2,5,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
16100,01,0,016100 Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau,444,523,735,1278,1471,2042,0,1-3,1-3,0,1-3,1-3,2,291,0.655405405,2,0,-0.655405405,764,0.597809077,2,0,-0.597809077,5,3,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
16200,01,0,016200 Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung,238,308,383,807,943,1045,1-3,1-3,1-3,1-3,1-3,7,7,145,0.609243697,0,0,-0.609243697,238,0.294919455,5,2.5,2.205080545,5,5,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
21000,02,0,021000 Forstwirtschaft,Forstwirtschaft,559,502,480,3287,3139,2803,4,1-3,1-3,19,21,18,18,-79,-0.141323792,-2,-0.5,-0.358676208,-484,-0.14724673,-1,-0.052631579,0.094615151,2,2,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
24000,02,0,024000 Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,801,885,964,2740,2983,3508,1-3,1-3,1-3,1-3,1-3,4,4,163,0.20349563,0,0,-0.20349563,768,0.280291971,2,1,0.719708029,5,5,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,A,"LAND- UND FORSTWIRTSCHAFT, FISCHEREI",ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
81200,08,0,"081200 Gewinnung von Kies, Sand, Ton und Kaolin","Gewinnung von Kies, Sand, Ton und Kaolin",272,263,247,3690,3797,3875,1-3,1-3,1-3,14,17,16,16,-25,-0.091911765,0,0,0.091911765,185,0.050135501,2,0.142857143,0.092721642,4,4,1,Primärsektor (Urproduktion),0,Keine Dienstleistung,B,BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
101100,10,1,101100 Schlachten (ohne Schlachten von Geflügel),Schlachten (ohne Schlachten von Geflügel),200,278,191,4575,4936,3813,1-3,1-3,1-3,455,346,297,297,-9,-0.045,0,0,0.045,-762,-0.166557377,-158,-0.347252747,-0.18069537,2,1,2,"Sekundärsektor (Industrieller Sektor, Produktion)",0,Keine Dienstleistung,C,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
101300,10,1,101300 Fleischverarbeitung,Fleischverarbeitung,470,578,508,10727,10411,9921,9,9,9,1008,1033,859,859,38,0.080851064,0,0,-0.080851064,-806,-0.075137503,-149,-0.14781746,-0.072679957,2,2,2,"Sekundärsektor (Industrieller Sektor, Produktion)",0,Keine Dienstleistung,C,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
102000,10,1,102000 Fischverarbeitung,Fischverarbeitung,30,35,36,668,665,668,1-3,1-3,1-3,106,149,158,158,6,0.2,0,0,-0.2,0,0,52,0.490566038,0.490566038,3,5,2,"Sekundärsektor (Industrieller Sektor, Produktion)",0,Keine Dienstleistung,C,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
103200,10,1,103200 Herstellung von Frucht- und Gemüsesäften,Herstellung von Frucht- und Gemüsesäften,22,34,33,174,189,226,0,0,1-3,0,0,1-3,2,11,0.5,2,0,-0.5,52,0.298850575,2,0,-0.298850575,5,3,2,"Sekundärsektor (Industrieller Sektor, Produktion)",0,Keine Dienstleistung,C,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
105200,10,1,105200 Herstellung von Speiseeis,Herstellung von Speiseeis,49,67,109,645,684,614,1-3,1-3,1-3,1-3,1-3,5,5,60,1.224489796,0,0,-1.224489796,-31,-0.048062016,3,1.5,1.548062016,2,5,2,"Sekundärsektor (Industrieller Sektor, Produktion)",0,Keine Dienstleistung,C,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
107100,10,1,107100 Herstellung von Backwaren (ohne Dauerbackwaren),Herstellung von Backwaren (ohne Dauerbackwaren),1360,1612,1706,24685,25312,24523,29,37,39,408,425,408,408,346,0.254411765,10,0.344827586,0.090415822,-162,-0.00656269,0,0,0.00656269,3,3,2,"Sekundärsektor (Industrieller Sektor, Produktion)",0,Keine Dienstleistung,C,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
107200,10,1,107200 Herstellung von Dauerbackwaren,Herstellung von Dauerbackwaren,58,91,100,2033,2315,2338,0,0,1-3,0,0,1-3,2,42,0.724137931,2,0,-0.724137931,305,0.150024594,2,0,-0.150024594,4,3,2,"Sekundärsektor (Industrieller Sektor, Produktion)",0,Keine Dienstleistung,C,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ABDE_CRest,"Sektor 1,2 (ohne Pharma, Chemie, Bau)",0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branchen,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branche,0,Andere Branchen,0,Andere Branchen,0,Keine Dienstleistung
