X1;X2015;X2020;NOGA6;NOGA2.x;NOGA1;Name;DeltaP5b;Wgroup;Cluster;Sektortext;Dienstleistungslevel;Dlnum;Produktionslevel;Owncat;Owncattxt
1;7586;5887;11100;1;0;Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten;-22.39651991;0;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
2;0;0;11200;1;0;Anbau von Reis;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
3;11199;12455;11300;1;0;Anbau von Gemüse und Melonen sowie Wurzeln und Knollen;11.21528708;3;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
4;0;0;11400;1;0;Anbau von Zuckerrohr;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
5;410;384;11500;1;0;Anbau von Tabak;-6.341463415;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
6;13;137;11600;1;0;Anbau von Faserpflanzen;953.8461538;4;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
7;3759;2133;11900;1;0;Anbau von sonstigen einjährigen Pflanzen;-43.25618516;0;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
8;10568;10739;12101;1;0;Anbau von Wein- und Tafeltrauben;1.618092354;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
9;153;61;12102;1;0;Weinbau - Kellerei;-60.13071895;0;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
10;0;0;12200;1;0;Anbau von tropischen und subtropischen Früchten;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
11;0;X;12300;1;0;Anbau von Zitrusfrüchten;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
12;3612;3953;12400;1;0;Anbau von Kern- und Steinobst;9.440753045;3;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
13;1735;1839;12500;1;0;Anbau von sonstigem Obst und Nüssen;5.994236311;3;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
14;0;0;12600;1;0;Anbau von ölhaltigen Früchten;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
15;0;0;12700;1;0;Anbau von Pflanzen zur Herstellung von Getränken;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
16;205;203;12800;1;0;Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke;-0.975609756;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
17;367;300;12900;1;0;Anbau sonstiger mehrjähriger Pflanzen;-18.25613079;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
18;1141;924;13000;1;0;Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken;-19.01840491;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
19;61861;57596;14100;1;0;Haltung von Milchkühen;-6.894489258;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
20;15077;17607;14200;1;0;Haltung von anderen Tieren der Rindergattung;16.78052663;3;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
21;7085;6786;14300;1;0;Haltung von Tieren der Pferdegattung;-4.220183486;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
22;156;153;14400;1;0;Haltung von Kameliden;-1.923076923;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
23;6945;6247;14500;1;0;Haltung von Schafen und Ziegen;-10.05039597;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
24;5864;5200;14600;1;0;Haltung von Schweinen;-11.32332879;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
25;3413;3441;14700;1;0;Haltung von Geflügel;0.820392616;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
26;884;842;14900;1;0;Sonstige Tierhaltung;-4.751131222;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
27;12949;12428;15000;1;0;Gemischte Landwirtschaft;-4.023476716;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
28;1351;1840;16100;1;0;Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau;36.19541081;4;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
29;917;1001;16200;1;0;Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung;9.160305344;3;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
30;50;108;16300;1;0;Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung;116;4;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
31;X;X;16400;1;0;Saatgutaufbereitung;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
32;0;0;17000;1;0;Jagd, Fallenstellerei und damit verbundene Tätigkeiten;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
33;3444;2897;21000;2;0;Forstwirtschaft;-15.88269454;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
34;0;0;22000;2;0;Holzeinschlag;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
35;8;X;23000;2;0;Sammeln von wild wachsenden Produkten (ohne Holz);0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
36;2887;3323;24000;2;0;Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag;15.1021822;3;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
37;0;0;31100;3;0;Meeresfischerei;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
38;180;176;31200;3;0;Süsswasserfischerei;-2.222222222;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
39;X;X;32100;3;0;Meeresaquakultur;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
40;255;334;32200;3;0;Süsswasseraquakultur;30.98039216;4;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
41;0;0;51000;5;0;Steinkohlenbergbau;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
42;0;0;52000;5;0;Braunkohlenbergbau;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
43;0;0;61000;6;0;Gewinnung von Erdöl;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
44;0;0;62000;6;0;Gewinnung von Erdgas;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
45;0;0;71000;7;0;Eisenerzbergbau;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
46;0;0;72100;7;0;Bergbau von Uran- und Thoriumerze;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
47;X;0;72900;7;0;Sonstiger NE-Metallerzbergbau;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
48;841;683;81100;8;0;Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer;-18.78715815;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
49;3760;3804;81200;8;0;Gewinnung von Kies, Sand, Ton und Kaolin;1.170212766;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
50;19;X;89100;8;0;Bergbau auf chemische und Düngemittelminerale;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
51;0;X;89200;8;0;Torfgewinnung;0;2;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
52;205;226;89300;8;0;Gewinnung von Salz;10.24390244;3;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
53;95;88;89900;8;0;Gewinnung von Steinen und Erden a. n. g.;-7.368421053;1;x;Primärsektor (Urproduktion);Keine Dienstleistung;0;0;x1;Primär/Sekundär
