"X1","X2015","X2020","NOGA6","NOGA2.x","NOGA1","Name","DeltaP5b","Wgroup","Cluster","Sektortext","Dienstleistungslevel","Dlnum","Produktionslevel","Owncat","Owncattxt"
"1","7586","5887","11100","1","","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","-""22","","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"2","","","11200","1","","Anbau von Reis","","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"3","11199","12455","11300","1","","Anbau von Gemüse und Melonen sowie Wurzeln und Knollen","11","3","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"4","","","11400","1","","Anbau von Zuckerrohr","","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"5","410","384","11500","1","","Anbau von Tabak","-""6","1","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"6","13","137","11600","1","","Anbau von Faserpflanzen","954","4","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"7","3759","2133","11900","1","","Anbau von sonstigen einjährigen Pflanzen","-""43","","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"8","10568","10739","12101","1","","Anbau von Wein- und Tafeltrauben","2","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"9","153","61","12102","1","","Weinbau - Kellerei","-""60","","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"10","","","12200","1","","Anbau von tropischen und subtropischen Früchten","","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"11","","X","12300","1","","Anbau von Zitrusfrüchten","","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"12","3612","3953","12400","1","","Anbau von Kern- und Steinobst","9","3","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"13","1735","1839","12500","1","","Anbau von sonstigem Obst und Nüssen","6","3","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"14","","","12600","1","","Anbau von ölhaltigen Früchten","","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"15","","","12700","1","","Anbau von Pflanzen zur Herstellung von Getränken","","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"16","205","203","12800","1","","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke","-""1","2","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
"17","367","300","12900","1","","Anbau sonstiger mehrjähriger Pflanzen","-""18","1","x","Primärsektor (Urproduktion)","Keine Dienstleistung","","","x1","Primär/Sekundär"
