"","Name","NOGA6","NOGA2","NOGA1","2015","2020","DeltaP5b","Wgroup"
"2"," Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","011100","01","0",5,6,20,"1"
"3"," Anbau von sonstigen einjährigen Pflanzen","011900","01","0",40,20,-50,"-2"
"4"," Anbau von Wein- und Tafeltrauben","012101","01","0",7,4,-42.8571428571429,"-2"
"5"," Haltung von Tieren der Pferdegattung","014300","01","0",4,4,0,"0"
"6"," Gemischte Landwirtschaft","015000","01","0",10,10,0,"0"
"7"," Forstwirtschaft","021000","02","0",13,16,23.0769230769231,"2"
"8"," Gewinnung von Kies, Sand, Ton und Kaolin","081200","08","0",16,14,-12.5,"-1"
"9"," Schlachten (ohne Schlachten von Geflügel)","101100","10","1",349,309,-11.4613180515759,"-1"
"10"," Fleischverarbeitung","101300","10","1",1025,971,-5.26829268292683,"-1"
"11"," Fischverarbeitung","102000","10","1",138,167,21.0144927536232,"2"
"12"," Herstellung von Backwaren (ohne Dauerbackwaren)","107100","10","1",494,403,-18.4210526315789,"-1"
"13"," Herstellung von Teigwaren","107300","10","1",5,5,0,"0"
"14"," Herstellung von Zuckerwaren","108202","10","1",9,10,11.1111111111111,"1"
"15"," Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz","108300","10","1",5,5,0,"0"
"16"," Herstellung von Würzmitteln und Saucen","108400","10","1",185,158,-14.5945945945946,"-1"
"17"," Herstellung von homogenisierten und diätetischen Nahrungsmitteln","108600","10","1",38,52,36.8421052631579,"2"
"18"," Herstellung von sonstigen Nahrungsmitteln a. n. g.","108900","10","1",9,18,100,"2"
"19"," Herstellung von Bier","110500","11","1",46,40,-13.0434782608696,"-1"
"20"," Veredlung von Textilien und Bekleidung","133000","13","1",7,10,42.8571428571429,"2"
"21"," Herstellung von sonstigen Textilwaren a. n. g.","139903","13","1",7,9,28.5714285714286,"2"
"22"," Herstellung von Damen- und Mädchenoberbekleidung","141302","14","1",27,18,-33.3333333333333,"-2"
"23"," Herstellung von Oberbekleidung ohne ausgeprägten Schwerpunkt","141303","14","1",106,88,-16.9811320754717,"-1"
"24"," Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.","141900","14","1",11,14,27.2727272727273,"2"
"25"," Herstellung von Reiseartikeln, Leder- und Sattlerwaren (ohne Herstellung von Lederbekleidung und Schuhen)","151200","15","1",14,18,28.5714285714286,"2"
"26"," Bauschreinerei, Fenster und Türen","162301","16","1",87,41,-52.8735632183908,"-2"
"27"," Schreinerarbeiten im Innenausbau","162302","16","1",240,285,18.75,"1"
"28"," Herstellung von sonstigen Waren aus Papier, Karton und Pappe","172900","17","1",18,16,-11.1111111111111,"-1"
"29"," Offsetdruck","181201","18","1",261,96,-63.2183908045977,"-2"
"30"," Siebdruck","181202","18","1",10,7,-30,"-2"
"31"," Lichtpause- und Reprografiebetriebe","181203","18","1",34,26,-23.5294117647059,"-2"
