,"Name","NOGA6","NOGA2","NOGA1","y2015","y2020","DeltaP5b","Wgroup","Cluster"
1," Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","11100","1","0",5,6,"20","3","Industrie, Produktion"
2," Anbau von sonstigen einjährigen Pflanzen","11900","1","0",40,20,"-50","0","Industrie, Produktion"
3," Anbau von Wein- und Tafeltrauben","12101","1","0",7,4,"-42.85714286","0","Industrie, Produktion"
4," Haltung von Tieren der Pferdegattung","14300","1","0",4,4,"0","2","Industrie, Produktion"
5," Gemischte Landwirtschaft","15000","1","0",10,10,"0","2","Industrie, Produktion"
6," Forstwirtschaft","21000","2","0",13,16,"23.07692308","4","Industrie, Produktion"
7," Gewinnung von Kies, Sand, Ton und Kaolin","81200","8","0",16,14,"-12.5","1","Industrie, Produktion"
8," Schlachten (ohne Schlachten von Geflügel)","101100","10","1",349,309,"-11.46131805","1","Industrie, Produktion"
9," Fleischverarbeitung","101300","10","1",1025,971,"-5.268292683","1","Industrie, Produktion"
10," Fischverarbeitung","102000","10","1",138,167,"21.01449275","4","Industrie, Produktion"
11," Herstellung von Backwaren (ohne Dauerbackwaren)","107100","10","1",494,403,"-18.42105263","1","Industrie, Produktion"
12," Herstellung von Teigwaren","107300","10","1",5,5,"0","2","Industrie, Produktion"
13," Herstellung von Zuckerwaren","108202","10","1",9,10,"11.11111111","3","Industrie, Produktion"
14," Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz","108300","10","1",5,5,"0","2","Industrie, Produktion"
15," Herstellung von Würzmitteln und Saucen","108400","10","1",185,158,"-14.59459459","1","Industrie, Produktion"
16," Herstellung von homogenisierten und diätetischen Nahrungsmitteln","108600","10","1",38,52,"36.84210526","4","Industrie, Produktion"
17," Herstellung von sonstigen Nahrungsmitteln a. n. g.","108900","10","1",9,18,"100","4","Industrie, Produktion"
18," Herstellung von Bier","110500","11","1",46,40,"-13.04347826","1","Industrie, Produktion"
19," Veredlung von Textilien und Bekleidung","133000","13","1",7,10,"42.85714286","4","Industrie, Produktion"
20," Herstellung von sonstigen Textilwaren a. n. g.","139903","13","1",7,9,"28.57142857","4","Industrie, Produktion"
21," Herstellung von Damen- und Mädchenoberbekleidung","141302","14","1",27,18,"-33.33333333","0","Industrie, Produktion"
22," Herstellung von Oberbekleidung ohne ausgeprägten Schwerpunkt","141303","14","1",106,88,"-16.98113208","1","Industrie, Produktion"
23," Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.","141900","14","1",11,14,"27.27272727","4","Industrie, Produktion"
24," Herstellung von Reiseartikeln, Leder- und Sattlerwaren (ohne Herstellung von Lederbekleidung und Schuhen)","151200","15","1",14,18,"28.57142857","4","Industrie, Produktion"
25," Bauschreinerei, Fenster und Türen","162301","16","1",87,41,"-52.87356322","0","Industrie, Produktion"
26," Schreinerarbeiten im Innenausbau","162302","16","1",240,285,"18.75","3","Industrie, Produktion"
27," Herstellung von sonstigen Waren aus Papier, Karton und Pappe","172900","17","1",18,16,"-11.11111111","1","Industrie, Produktion"
28," Offsetdruck","181201","18","1",261,96,"-63.2183908","0","Industrie, Produktion"
29," Siebdruck","181202","18","1",10,7,"-30","0","Industrie, Produktion"
30," Lichtpause- und Reprografiebetriebe","181203","18","1",34,26,"-23.52941176","0","Industrie, Produktion"
31," Sonstiges Drucken a. n. g.","181204","18","1",30,31,"3.333333333","2","Industrie, Produktion"
32," Erbringung von druckvorbereitenden Dienstleistungen","181301","18","1",70,52,"-25.71428571","0","Industrie, Produktion"
33," Binden von Druckerzeugnissen und damit verbundene Dienstleistungen","181400","18","1",30,25,"-16.66666667","1","Life Sciences, Chemie, Pharma"
34," Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln","202000","20","2",61,20,"-67.21311475","0","Life Sciences, Chemie, Pharma"
35," Herstellung von Klebstoffen","205200","20","2",289,233,"-19.37716263","1","Life Sciences, Chemie, Pharma"
36," Herstellung von sonstigen chemischen Erzeugnissen a. n. g.","205900","20","2",573,296,"-48.34205934","0","Life Sciences, Chemie, Pharma"
