"","Name","NOGA6","NOGA2.x","NOGA1","X2015","y2020","DeltaP5b","Wgroup","Cluster","Sektortext","Dienstleistungslevel","Produktionslevel"
"1"," Anbau von Getreide (ohne Reis), H√ºlsenfr√ºchten und √ñlsaaten","11100","1","0","5","6","20","3","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"2"," Anbau von sonstigen einj√§hrigen Pflanzen","11900","1","0","40","20","-50","0","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"3"," Anbau von Wein- und Tafeltrauben","12101","1","0","7","4","-42.85714286","0","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"4"," Haltung von Tieren der Pferdegattung","14300","1","0","4","4","0","2","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"5"," Gemischte Landwirtschaft","15000","1","0","10","10","0","2","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"6"," Forstwirtschaft","21000","2","0","13","16","23.07692308","4","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"7"," Gewinnung von Kies, Sand, Ton und Kaolin","81200","8","0","16","14","-12.5","1","Industrie, Produktion","Prim‰rsektor (Urproduktion)","Keine Dienstleistung","Non-Manufacturing"
"8"," Schlachten (ohne Schlachten von Gefl√ºgel)","101100","10","1","349","309","-11.46131805","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"9"," Fleischverarbeitung","101300","10","1","1025","971","-5.268292683","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"10"," Fischverarbeitung","102000","10","1","138","167","21.01449275","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"11"," Herstellung von Backwaren (ohne Dauerbackwaren)","107100","10","1","494","403","-18.42105263","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"12"," Herstellung von Teigwaren","107300","10","1","5","5","0","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"13"," Herstellung von Zuckerwaren","108202","10","1","9","10","11.11111111","3","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"14"," Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz","108300","10","1","5","5","0","2","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"15"," Herstellung von W√ºrzmitteln und Saucen","108400","10","1","185","158","-14.59459459","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"16"," Herstellung von homogenisierten und di√§tetischen Nahrungsmitteln","108600","10","1","38","52","36.84210526","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"17"," Herstellung von sonstigen Nahrungsmitteln a. n. g.","108900","10","1","9","18","100","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"18"," Herstellung von Bier","110500","11","1","46","40","-13.04347826","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"19"," Veredlung von Textilien und Bekleidung","133000","13","1","7","10","42.85714286","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"20"," Herstellung von sonstigen Textilwaren a. n. g.","139903","13","1","7","9","28.57142857","4","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"21"," Herstellung von Damen- und M√§dchenoberbekleidung","141302","14","1","27","18","-33.33333333","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"22"," Herstellung von Oberbekleidung ohne ausgepr√§gten Schwerpunkt","141303","14","1","106","88","-16.98113208","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
